Player,MP-Standard Stats,Starts-Standard Stats,Min-Standard Stats,90s-Standard Stats,Gls-Standard Stats,Ast-Standard Stats,G+A-Standard Stats,G-PK-Standard Stats,PK-Standard Stats,PKatt-Standard Stats,CrdY-Standard Stats,CrdR-Standard Stats,xG-Standard Stats,npxG-Standard Stats,xAG-Standard Stats,npxG+xAG-Standard Stats,PrgC-Standard Stats,PrgP-Standard Stats,PrgR-Standard Stats,Gls.1-Standard Stats,Ast.1-Standard Stats,G+A.1-Standard Stats,G-PK.1-Standard Stats,G+A-PK-Standard Stats,xG.1-Standard Stats,xAG.1-Standard Stats,xG+xAG-Standard Stats,npxG.1-Standard Stats,npxG+xAG.1-Standard Stats,90s-Miscellaneous Stats,CrdY-Miscellaneous Stats,CrdR-Miscellaneous Stats,2CrdY-Miscellaneous Stats,Fls-Miscellaneous Stats,Fld-Miscellaneous Stats,Off-Miscellaneous Stats,Crs-Miscellaneous Stats,Int-Miscellaneous Stats,TklW-Miscellaneous Stats,PKwon-Miscellaneous Stats,PKcon-Miscellaneous Stats,OG-Miscellaneous Stats,Recov-Miscellaneous Stats,Won-Miscellaneous Stats,Lost-Miscellaneous Stats,Won%-Miscellaneous Stats,90s-Shooting,Gls-Shooting,Sh-Shooting,SoT-Shooting,SoT%-Shooting,Sh/90-Shooting,SoT/90-Shooting,G/Sh-Shooting,G/SoT-Shooting,Dist-Shooting,FK-Shooting,PK-Shooting,PKatt-Shooting,xG-Shooting,npxG-Shooting,npxG/Sh-Shooting,G-xG-Shooting,np:G-xG-Shooting,90s-Goal and Shot Creation,SCA-Goal and Shot Creation,SCA90-Goal and Shot Creation,PassLive-Goal and Shot Creation,PassDead-Goal and Shot Creation,TO-Goal and Shot Creation,Sh-Goal and Shot Creation,Fld-Goal and Shot Creation,Def-Goal and Shot Creation,GCA-Goal and Shot Creation,GCA90-Goal and Shot Creation,PassLive.1-Goal and Shot Creation,PassDead.1-Goal and Shot Creation,TO.1-Goal and Shot Creation,Sh.1-Goal and Shot Creation,Fld.1-Goal and Shot Creation,Def.1-Goal and Shot Creation,90s-Passing,Cmp-Passing,Att-Passing,Cmp%-Passing,TotDist-Passing,PrgDist-Passing,Cmp.1-Passing,Att.1-Passing,Cmp%.1-Passing,Cmp.2-Passing,Att.2-Passing,Cmp%.2-Passing,Cmp.3-Passing,Att.3-Passing,Cmp%.3-Passing,Ast-Passing,xAG-Passing,xA-Passing,A-xAG-Passing,KP-Passing,1/3-Passing,PPA-Passing,CrsPA-Passing,PrgP-Passing,90s-Pass Types,Att-Pass Types,Live-Pass Types,Dead-Pass Types,FK-Pass Types,TB-Pass Types,Sw-Pass Types,Crs-Pass Types,TI-Pass Types,CK-Pass Types,In-Pass Types,Out-Pass Types,Str-Pass Types,Cmp-Pass Types,Off-Pass Types,Blocks-Pass Types,MP-Playing Time,Min-Playing Time,Mn/MP-Playing Time,Min%-Playing Time,90s-Playing Time,Starts-Playing Time,Mn/Start-Playing Time,Compl-Playing Time,Subs-Playing Time,Mn/Sub-Playing Time,unSub-Playing Time,PPM-Playing Time,onG-Playing Time,onGA-Playing Time,+/--Playing Time,+/-90-Playing Time,On-Off-Playing Time,onxG-Playing Time,onxGA-Playing Time,xG+/--Playing Time,xG+/-90-Playing Time,On-Off.1-Playing Time,90s-Defensive Actions,Tkl-Defensive Actions,TklW-Defensive Actions,Def 3rd-Defensive Actions,Mid 3rd-Defensive Actions,Att 3rd-Defensive Actions,Tkl.1-Defensive Actions,Att-Defensive Actions,Tkl%-Defensive Actions,Lost-Defensive Actions,Blocks-Defensive Actions,Sh-Defensive Actions,Pass-Defensive Actions,Int-Defensive Actions,Tkl+Int-Defensive Actions,Clr-Defensive Actions,Err-Defensive Actions
Fransérgio,15.0,4.0,534.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,12.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,5.9,1,0,0,7,7,1,3,5,4,0.0,0.0,0,33.0,12.0,17.0,41.4,5.9,0,8,1,12.5,1.35,0.17,0.0,0.0,21.2,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,5.9,8.0,1.35,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,5.9,234.0,298.0,78.5,4171.0,1133.0,99.0,122.0,81.1,111.0,124.0,89.5,22.0,37.0,59.5,0,0.1,0.1,-0.1,3.0,25.0,3.0,1.0,21.0,5.9,298.0,284.0,14.0,14.0,1.0,3.0,3,0.0,0.0,0.0,0.0,0.0,234.0,0.0,10.0,15.0,534.0,36.0,15.6,5.9,4.0,61.0,0.0,11.0,26.0,8,1.07,8.0,14.0,-6.0,-1.01,-0.2,8.8,12.4,-3.7,-0.62,-0.06,5.9,11.0,4,5.0,5.0,1.0,6.0,10.0,60.0,4.0,6.0,2.0,4.0,5,16,13.0,0.0
Luan Polli,5.0,4.0,385.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,4.3,2,0,0,0,1,0,0,0,0,0.0,0.0,0,2.0,1.0,2.0,33.3,4.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,4.3,1.0,0.23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,72.0,108.0,66.7,2416.0,2064.0,12.0,12.0,100.0,32.0,32.0,100.0,28.0,64.0,43.8,0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.3,108.0,67.0,41.0,11.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,5.0,385.0,77.0,11.3,4.3,4.0,90.0,4.0,1.0,25.0,31,1.0,10.0,10.0,0.0,0.0,0.95,5.9,8.4,-2.5,-0.58,-0.01,4.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,3.0,3.0
Gabriel Boschilia,11.0,3.0,344.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.8,1.9,10.0,18.0,20.0,0.26,0.26,0.52,0.26,0.52,0.29,0.21,0.5,0.29,0.5,3.8,1,0,0,6,7,0,15,1,5,0.0,0.0,0,26.0,2.0,5.0,28.6,3.8,1,15,5,33.3,3.92,1.31,0.07,0.2,24.1,2.0,0,0,1.1,1.1,0.07,-0.1,-0.1,3.8,11.0,2.88,6.0,2.0,2.0,1.0,0.0,0.0,1.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0,3.8,145.0,182.0,79.7,2156.0,634.0,91.0,96.0,94.8,43.0,53.0,81.1,9.0,26.0,34.6,1,0.8,0.6,0.2,5.0,25.0,2.0,1.0,18.0,3.8,182.0,162.0,19.0,5.0,2.0,3.0,15,4.0,9.0,4.0,3.0,0.0,145.0,1.0,2.0,11.0,344.0,31.0,10.1,3.8,3.0,64.0,0.0,8.0,19.0,3,0.73,3.0,11.0,-8.0,-2.09,-1.39,3.4,7.0,-3.6,-0.93,-0.41,3.8,12.0,5,3.0,8.0,1.0,7.0,13.0,53.8,6.0,5.0,1.0,4.0,1,13,3.0,0.0
Hayner,8.0,3.0,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.3,14.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,3.4,3,0,0,9,10,0,12,1,4,0.0,0.0,0,19.0,4.0,5.0,44.4,3.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,3.4,7.0,2.07,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,3.4,96.0,142.0,67.6,1726.0,729.0,43.0,57.0,75.4,41.0,61.0,67.2,11.0,19.0,57.9,0,0.3,0.2,-0.3,5.0,13.0,3.0,1.0,14.0,3.4,142.0,114.0,28.0,1.0,0.0,2.0,12,26.0,1.0,0.0,1.0,0.0,96.0,0.0,3.0,8.0,304.0,38.0,8.9,3.4,3.0,67.0,0.0,5.0,20.0,5,0.75,5.0,11.0,-6.0,-1.78,-1.03,3.7,8.9,-5.2,-1.55,-1.07,3.4,5.0,4,3.0,2.0,0.0,2.0,3.0,66.7,1.0,5.0,1.0,4.0,1,6,9.0,0.0
Jhon Chancellor,4.0,3.0,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,3.4,0,0,0,2,1,1,0,2,4,0.0,0.0,0,7.0,6.0,7.0,46.2,3.4,0,1,0,0.0,0.3,0.0,0.0,,14.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,80.0,101.0,79.2,1533.0,602.0,32.0,36.0,88.9,37.0,43.0,86.0,11.0,21.0,52.4,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.4,101.0,99.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,4.0,303.0,76.0,8.9,3.4,3.0,90.0,2.0,1.0,34.0,1,0.25,3.0,9.0,-6.0,-1.78,-1.03,1.9,6.3,-4.4,-1.3,-0.8,3.4,6.0,4,6.0,0.0,0.0,4.0,4.0,100.0,0.0,5.0,4.0,1.0,2,8,21.0,0.0
Pedro Morisco,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,4.0,1.0,80.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,3.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,65.0,99.0,65.7,2094.0,1606.0,8.0,8.0,100.0,25.0,27.0,92.6,32.0,64.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,99.0,63.0,36.0,4.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,3.0,270.0,90.0,7.9,3.0,3.0,90.0,3.0,0.0,,6,0.33,1.0,4.0,-3.0,-1.0,-0.17,2.6,5.0,-2.3,-0.78,-0.23,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,1.0,0.0
Edu,10.0,2.0,320.0,3.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,0.4,3.0,5.0,7.0,17.0,0.56,0.0,0.56,0.56,0.56,0.72,0.12,0.83,0.72,0.83,3.6,0,0,0,1,4,2,5,0,0,0.0,0.0,0,10.0,8.0,6.0,57.1,3.6,2,10,4,40.0,2.81,1.13,0.2,0.5,13.4,0.0,0,0,2.5,2.5,0.25,-0.5,-0.5,3.6,7.0,1.97,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,54.0,84.0,64.3,858.0,210.0,28.0,41.0,68.3,19.0,27.0,70.4,4.0,4.0,100.0,0,0.4,0.4,-0.4,4.0,6.0,2.0,1.0,7.0,3.6,84.0,74.0,10.0,1.0,0.0,0.0,5,1.0,0.0,0.0,0.0,0.0,54.0,0.0,5.0,10.0,320.0,32.0,9.4,3.6,2.0,64.0,0.0,8.0,24.0,8,0.5,3.0,8.0,-5.0,-1.41,-0.62,4.9,6.7,-1.7,-0.48,0.09,3.6,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0,0,2.0,0.0
Júnior Urso,6.0,2.0,298.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,4.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.13,0.09,0.13,3.3,2,0,0,4,10,0,1,2,3,0.0,0.0,0,14.0,5.0,4.0,55.6,3.3,0,7,1,14.3,2.11,0.3,0.0,0.0,19.2,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,3.3,4.0,1.2,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,109.0,122.0,89.3,2056.0,457.0,40.0,45.0,88.9,57.0,61.0,93.4,10.0,12.0,83.3,0,0.1,0.0,-0.1,2.0,10.0,0.0,0.0,13.0,3.3,122.0,117.0,5.0,5.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,109.0,0.0,2.0,6.0,298.0,50.0,8.7,3.3,2.0,74.0,1.0,4.0,38.0,0,0.33,1.0,6.0,-5.0,-1.51,-0.73,2.5,6.3,-3.7,-1.13,-0.61,3.3,4.0,3,3.0,1.0,0.0,3.0,7.0,42.9,4.0,2.0,0.0,2.0,2,6,4.0,0.0
Juninho,46.0,40.0,3698.0,41.1,4.0,5.0,9.0,4.0,0.0,0.0,5.0,0.0,2.4,2.4,3.5,5.9,31.0,100.0,164.0,0.1,0.12,0.22,0.1,0.22,0.07,0.11,0.18,0.07,0.18,41.1,5,0,0,38,43,4,51,37,38,1.0,0.0,0,189.0,21.0,41.0,33.9,41.1,4,31,12,38.7,0.75,0.29,0.13,0.33,15.6,0.0,0,0,2.4,2.4,0.09,0.6,0.6,41.1,97.0,2.99,78.0,1.0,5.0,8.0,3.0,2.0,9.0,0.28,8.0,0.0,0.0,0.0,1.0,0.0,41.1,699.0,973.0,71.8,10502.0,3675.0,381.0,470.0,81.1,237.0,332.0,71.4,44.0,82.0,53.7,5,3.5,5.0,1.5,42.0,62.0,27.0,7.0,100.0,41.1,973.0,924.0,41.0,21.0,3.0,2.0,51,17.0,0.0,0.0,0.0,0.0,699.0,8.0,21.0,46.0,3698.0,80.0,81.6,41.1,40.0,89.0,35.0,6.0,25.0,1,0.79,56.0,81.0,-25.0,-0.61,0.47,41.5,51.2,-9.7,-0.3,0.86,41.1,44.0,38,14.0,23.0,7.0,15.0,51.0,29.4,36.0,33.0,7.0,26.0,37,75,43.0,0.0
Leandro Emmanuel Martínez,46.0,31.0,2973.0,33.0,1.0,8.0,9.0,1.0,0.0,0.0,5.0,0.0,3.3,3.3,4.5,7.8,70.0,156.0,104.0,0.03,0.24,0.27,0.03,0.27,0.12,0.16,0.28,0.12,0.28,33.0,5,0,0,34,79,1,139,39,50,0.0,1.0,0,242.0,8.0,17.0,32.0,33.0,1,43,14,32.6,1.3,0.42,0.02,0.07,22.8,3.0,0,0,3.3,3.3,0.09,-2.3,-2.3,33.0,120.0,4.25,83.0,22.0,3.0,3.0,5.0,4.0,9.0,0.32,6.0,2.0,0.0,0.0,1.0,0.0,33.0,1175.0,1473.0,79.8,18310.0,5955.0,639.0,705.0,90.6,401.0,498.0,80.5,87.0,172.0,50.6,8,4.5,5.5,3.5,65.0,128.0,40.0,14.0,156.0,33.0,1473.0,1315.0,154.0,62.0,8.0,6.0,139,7.0,79.0,24.0,24.0,0.0,1175.0,4.0,28.0,46.0,2973.0,65.0,65.6,33.0,31.0,84.0,20.0,15.0,25.0,0,0.76,42.0,68.0,-26.0,-0.79,-0.27,35.6,45.3,-9.8,-0.35,0.31,33.0,61.0,50,21.0,36.0,4.0,25.0,92.0,27.2,67.0,51.0,11.0,40.0,39,92,22.0,1.0
Gonzalo Mastriani,36.0,29.0,2511.0,27.9,20.0,1.0,21.0,18.0,2.0,3.0,1.0,1.0,10.6,9.0,1.5,10.6,10.0,23.0,90.0,0.72,0.04,0.75,0.65,0.68,0.53,0.08,0.61,0.45,0.53,27.9,1,1,0,20,29,5,4,4,10,0.0,0.0,0,50.0,48.0,59.0,44.9,27.9,20,78,39,50.0,2.8,1.4,0.23,0.46,14.2,0.0,2,3,10.6,9.0,0.17,0.4,1.0,27.9,33.0,1.66,25.0,0.0,0.0,2.0,6.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,27.9,198.0,317.0,62.5,2522.0,484.0,126.0,179.0,70.4,42.0,73.0,57.5,10.0,19.0,52.6,1,1.5,1.1,-0.5,14.0,15.0,8.0,0.0,23.0,27.9,317.0,279.0,36.0,0.0,1.0,0.0,4,1.0,0.0,0.0,0.0,0.0,198.0,2.0,9.0,36.0,2511.0,70.0,55.4,27.9,29.0,77.0,12.0,7.0,41.0,9,0.78,38.0,48.0,-10.0,-0.36,0.76,23.9,27.1,-3.1,-0.16,0.57,27.9,11.0,10,0.0,6.0,5.0,6.0,20.0,30.0,14.0,10.0,3.0,7.0,4,12,11.0,0.0
Eder,34.0,27.0,2496.0,27.7,2.0,0.0,2.0,2.0,0.0,0.0,10.0,1.0,0.4,0.4,0.2,0.5,9.0,54.0,4.0,0.07,0.0,0.07,0.07,0.07,0.02,0.01,0.03,0.02,0.03,27.7,10,1,1,29,5,3,2,25,20,0.0,0.0,2,85.0,40.0,35.0,53.3,27.7,2,11,4,36.4,0.4,0.14,0.18,0.5,12.7,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,27.7,11.0,0.63,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,554.0,693.0,79.9,11569.0,5119.0,173.0,192.0,90.1,290.0,331.0,87.6,89.0,160.0,55.6,0,0.2,0.3,-0.2,3.0,49.0,5.0,1.0,54.0,27.7,693.0,660.0,32.0,29.0,1.0,11.0,2,0.0,0.0,0.0,0.0,0.0,554.0,1.0,0.0,34.0,2496.0,73.0,55.1,27.7,27.0,85.0,23.0,7.0,28.0,10,0.71,36.0,63.0,-27.0,-0.97,-0.62,20.7,36.4,-15.7,-0.9,-0.88,27.7,23.0,20,14.0,7.0,2.0,15.0,21.0,71.4,6.0,34.0,21.0,13.0,25,42,99.0,1.0
Iago Maidana,35.0,26.0,2367.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,0.1,0.9,17.0,54.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,26.3,5,1,0,38,7,1,1,34,17,0.0,1.0,0,111.0,72.0,26.0,73.5,26.3,0,16,5,31.3,0.61,0.19,0.0,0.0,13.3,0.0,0,0,0.8,0.8,0.05,-0.8,-0.8,26.3,10.0,0.42,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,26.3,578.0,775.0,74.6,11896.0,4924.0,176.0,213.0,82.6,311.0,375.0,82.9,85.0,159.0,53.5,0,0.1,0.1,-0.1,4.0,40.0,1.0,1.0,54.0,26.3,775.0,737.0,33.0,25.0,0.0,8.0,1,2.0,0.0,0.0,0.0,0.0,578.0,5.0,9.0,35.0,2367.0,68.0,52.3,26.3,26.0,86.0,23.0,9.0,15.0,8,0.74,37.0,55.0,-18.0,-0.68,0.02,32.4,38.7,-6.4,-0.27,0.44,26.3,32.0,17,22.0,9.0,1.0,12.0,22.0,54.5,10.0,31.0,21.0,10.0,34,64,107.0,0.0
Marlon,36.0,25.0,2342.0,26.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.8,1.3,63.0,71.0,80.0,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,26.0,5,0,0,21,47,0,86,39,37,0.0,0.0,1,129.0,18.0,19.0,48.6,26.0,1,16,3,18.8,0.61,0.12,0.06,0.33,24.2,0.0,0,0,0.5,0.5,0.04,0.5,0.5,26.0,41.0,2.21,29.0,8.0,1.0,0.0,2.0,1.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,26.0,674.0,877.0,76.9,10873.0,4449.0,367.0,415.0,88.4,239.0,297.0,80.5,51.0,108.0,47.2,1,0.8,0.9,0.2,19.0,54.0,13.0,7.0,71.0,26.0,877.0,696.0,180.0,26.0,0.0,4.0,86,146.0,8.0,4.0,3.0,0.0,674.0,1.0,32.0,36.0,2342.0,65.0,51.7,26.0,25.0,83.0,15.0,11.0,24.0,7,0.78,38.0,50.0,-12.0,-0.46,0.48,21.9,33.9,-12.0,-0.64,-0.43,26.0,37.0,37,20.0,16.0,1.0,22.0,37.0,59.5,15.0,32.0,6.0,26.0,39,68,49.0,0.0
Ale,37.0,24.0,2277.0,25.3,2.0,1.0,3.0,2.0,0.0,0.0,9.0,1.0,1.8,1.8,1.2,3.0,29.0,110.0,37.0,0.08,0.04,0.12,0.08,0.12,0.12,0.07,0.19,0.12,0.19,25.3,9,1,1,48,36,2,15,35,33,0.0,0.0,0,145.0,20.0,10.0,66.7,25.3,2,21,2,9.5,0.83,0.08,0.1,1.0,14.2,0.0,0,0,1.8,1.8,0.14,-0.8,-0.8,25.3,35.0,2.21,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,770.0,878.0,87.7,12931.0,4158.0,361.0,405.0,89.1,326.0,356.0,91.6,61.0,70.0,87.1,1,1.2,0.8,-0.2,16.0,88.0,8.0,3.0,110.0,25.3,878.0,841.0,36.0,26.0,0.0,7.0,15,7.0,0.0,0.0,0.0,0.0,770.0,1.0,10.0,37.0,2277.0,62.0,50.3,25.3,24.0,82.0,11.0,13.0,23.0,9,0.81,33.0,49.0,-16.0,-0.63,0.13,20.1,29.6,-9.5,-0.6,-0.29,25.3,39.0,33,17.0,20.0,2.0,12.0,37.0,32.4,25.0,21.0,5.0,16.0,35,67,24.0,0.0
Danilo Avelar,29.0,25.0,2100.0,23.3,4.0,1.0,5.0,3.0,1.0,1.0,6.0,1.0,4.0,3.2,0.7,3.9,11.0,81.0,42.0,0.17,0.04,0.21,0.13,0.17,0.18,0.03,0.21,0.14,0.18,23.3,6,1,0,51,14,3,20,40,24,0.0,1.0,0,96.0,95.0,38.0,71.4,23.3,4,36,10,27.8,1.54,0.43,0.08,0.3,13.5,0.0,1,1,4.0,3.2,0.1,-1.0,-1.2,23.3,29.0,1.32,21.0,3.0,0.0,4.0,0.0,1.0,4.0,0.18,3.0,1.0,0.0,0.0,0.0,0.0,23.3,613.0,889.0,69.0,11633.0,6518.0,228.0,272.0,83.8,307.0,407.0,75.4,68.0,166.0,41.0,1,0.7,0.7,0.3,12.0,59.0,11.0,7.0,81.0,23.3,889.0,776.0,107.0,23.0,1.0,4.0,20,83.0,0.0,0.0,0.0,0.0,613.0,6.0,15.0,29.0,2100.0,72.0,46.4,23.3,25.0,81.0,15.0,4.0,17.0,9,0.83,32.0,48.0,-16.0,-0.69,0.02,25.7,31.6,-5.9,-0.27,0.38,23.3,35.0,24,15.0,18.0,2.0,17.0,31.0,54.8,14.0,20.0,10.0,10.0,40,70,73.0,0.0
Matheus Cavichioli,22.0,21.0,1963.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0,1,0,1,2,0,0,1,1,0.0,0.0,1,18.0,4.0,0.0,100.0,21.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,21.8,4.0,0.27,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,261.0,377.0,69.2,8773.0,6930.0,38.0,38.0,100.0,91.0,94.0,96.8,131.0,241.0,54.4,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,21.8,377.0,224.0,152.0,37.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,261.0,1.0,1.0,22.0,1963.0,89.0,43.3,21.8,21.0,90.0,20.0,1.0,75.0,16,0.55,24.0,44.0,-20.0,-0.92,-0.39,20.0,22.5,-2.5,-0.17,0.42,21.8,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1,2,8.0,2.0
Felipe Azevedo,35.0,27.0,1950.0,21.7,5.0,1.0,6.0,5.0,0.0,0.0,3.0,1.0,3.7,3.7,1.9,5.7,30.0,52.0,121.0,0.23,0.05,0.28,0.23,0.28,0.19,0.1,0.29,0.19,0.29,21.7,3,1,0,33,33,5,33,10,10,0.0,0.0,0,98.0,27.0,42.0,39.1,21.7,5,49,17,34.7,2.26,0.78,0.1,0.29,17.3,0.0,0,0,3.7,3.7,0.09,0.3,0.3,21.7,57.0,2.9,41.0,3.0,2.0,5.0,4.0,2.0,4.0,0.2,2.0,0.0,1.0,0.0,0.0,1.0,21.7,325.0,497.0,65.4,4892.0,1575.0,182.0,243.0,74.9,89.0,135.0,65.9,28.0,54.0,51.9,1,1.9,1.0,-0.9,29.0,34.0,16.0,3.0,52.0,21.7,497.0,472.0,22.0,6.0,0.0,5.0,33,6.0,9.0,3.0,1.0,0.0,325.0,3.0,21.0,35.0,1950.0,56.0,43.0,21.7,27.0,65.0,2.0,8.0,25.0,6,0.69,23.0,41.0,-18.0,-0.83,-0.24,23.1,28.3,-5.2,-0.26,0.34,21.7,17.0,10,7.0,5.0,5.0,11.0,26.0,42.3,15.0,16.0,3.0,13.0,10,27,17.0,0.0
Ricardo Silva,23.0,21.0,1880.0,20.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.1,0.7,10.0,44.0,1.0,0.05,0.0,0.05,0.05,0.05,0.04,0.0,0.04,0.04,0.04,20.9,3,0,0,23,17,1,2,33,21,0.0,0.0,0,91.0,59.0,26.0,69.4,20.9,1,11,5,45.5,0.53,0.24,0.09,0.2,13.1,0.0,0,0,0.7,0.7,0.1,0.3,0.3,20.9,9.0,0.5,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,489.0,632.0,77.4,9700.0,3970.0,160.0,189.0,84.7,257.0,301.0,85.4,64.0,114.0,56.1,0,0.1,0.2,-0.1,2.0,35.0,1.0,0.0,44.0,20.9,632.0,590.0,40.0,36.0,0.0,10.0,2,4.0,0.0,0.0,0.0,0.0,489.0,2.0,8.0,23.0,1880.0,82.0,41.5,20.9,21.0,87.0,20.0,2.0,22.0,4,0.83,24.0,41.0,-17.0,-0.81,-0.2,24.4,26.9,-2.5,-0.14,0.54,20.9,25.0,21,19.0,6.0,0.0,18.0,28.0,64.3,10.0,27.0,17.0,10.0,33,51,94.0,1.0
